Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
121 - 1214,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,413,12,0.4,3340,0006,0268,Plynas kirtimas,2021-07-20,2021-12-31
121 - 1583,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,36,"34,35",1.3,3301,0001,0028,Plynas kirtimas,2021-07-30,2021-12-31
121 - 2187,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,437,8a,0.2,3318,0002,0025,Plynas sanitarinis kirtimas (TN),2021-08-24,2021-12-31
121 - 2187,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,437,8b,0.2,3318,0002,0025,Plynas sanitarinis kirtimas (TN),2021-08-24,2021-12-31
121 - 2308,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,481,16,0.1,3355,0003,0062,Plynas sanitarinis kirtimas (TN),2021-08-27,2021-12-31
121 - 2308,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,481,22,0.1,3355,0003,0062,Plynas sanitarinis kirtimas (TN),2021-08-27,2021-12-31
121 - 346,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,754,13,1.2,3347,0004,0071,Plynas kirtimas,2021-06-21,2021-12-31
121 - 893,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,488,12,0.2,3355,0001,0073,Plynas sanitarinis kirtimas (PN),2021-07-12,2021-12-31
121 - 916,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,408,"3,4",1.4,3340,0002,0206,Plynas kirtimas,2021-07-12,2021-12-31
121 - 916,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,408,5,0.1,3340,0002,0206,Plynas kirtimas,2021-07-12,2021-12-31
